Respondent ID,Collector ID,Start Date,End Date,Custom Data 1,How did you first hear about the Louisiana SPCA Community Clinic,,,,,,What services did you receive?,,How likely are you to use the Community Clinic again?,,,,,Additional feedback
,,,,,Adopted from Louisiana SPCA,Google,Social media,In the news,From a friend,Other (please specify),Response,Other (please specify),Extremely likely,Very likely,Somewhat likely,Not so likely,Not at all likely,Open-Ended Response
11486137464,212328902,4/8/2020 5:19,4/8/2020 5:20,,Adopted from Louisiana SPCA,,,,,,Other (please specify),Illness care,Extremely likely,,,,,Pretty good protocol during COVID-19. 
11485431037,212328902,4/7/2020 22:23,4/7/2020 22:24,,,,,,From a friend,Donald Lofton ,Wellness exam,,Extremely likely,,,,,N/A 
11476806459,212328902,4/4/2020 18:46,4/4/2020 18:49,,,,,,,New Orleans native. SPCA has been around since I was a little boy.. all I know,Other (please specify),First time puppy visit,Extremely likely,,,,,It was a great experience!
11476542099,212328902,4/4/2020 15:02,4/4/2020 15:04,,,,,,From a friend,,Spay/Neuter,,,,Somewhat likely,,,"I took my small dog to get spayed, and although the spay job was fine and professional, the LASPCA did not provide us any NSAIDS, saying that she wouldn't need them. Beignet was in such pain that I thought she was dying - running to hide in closets, completely lethargic. I took her to an emergency vet and they provided her with painkillers, which perked her back up immediately."
11474105972,212328902,4/3/2020 14:17,4/3/2020 14:20,,,,,,From a friend,,Wellness exam,,Extremely likely,,,,,Due to the covid 19 I am really in a bind for cash. Wish the services were a little less expensive. Paid 110.00 for wellness if times were not so hard I definitely would not mind paying everyone was excellent
11471727791,212328902,4/2/2020 23:09,4/2/2020 23:18,,Adopted from Louisiana SPCA,,,,,,Wellness exam,,Extremely likely,,,,,"Thanks so much to all the outstanding staff who attended to my new buddy in receiving his current puppy shots by coming to my car to see him in. He is a covid19 adoptee and we couldn’t be more pleased. Even in these trying times, your staff worked so hard to make it safe and efficient. The vet called me on the phone to let me know about my puppy. She was amazing. Thanks to all the people dedicated to animal welfare! We are so lucky to have our new family member,."
11469668341,212328902,4/2/2020 10:47,4/2/2020 10:52,,,,,,,Work there,Other (please specify),"Had bite wound bandaged up, then had stitches taken out",Extremely likely,,,,,Loved working with Dr. Smith and Dr. Geautroux on best outcomes for Phoebe's situation. Both doctors were extremely nice and helpful and willing to answer all my questions!
11467772858,212328902,4/1/2020 20:10,4/1/2020 20:11,,Adopted from Louisiana SPCA,,,,,,Wellness exam,,Extremely likely,,,,,"I'm so thankful for the volunteers and other staff that are working hard to keep the animals happy and healthy and get them the medical care they need. Talking with the vet on the phone was not ideal, though, and I felt like I didn't get all of the information I needed."
11464585263,212328902,3/31/2020 22:48,3/31/2020 22:51,,,,,,From a friend,,Wellness exam,,Extremely likely,,,,,My visit was great the service was professional and I appreciate the time and care of the employee.
11453801771,212328902,3/27/2020 18:42,3/27/2020 18:43,,,,,,,I have always known ,Wellness exam,,Extremely likely,,,,,Everything was simply PHENOMENAL !!! Everything and EVERYONE !! 👍🏾👍🏾👍🏾👍🏾👍🏾
11450564405,212328902,3/26/2020 20:08,3/26/2020 20:13,,,Google,,,,,Wellness exam,,Extremely likely,,,,,SweetieBelle enjoyed her visit. She loved all the special treatment. 
11446024974,212328902,3/25/2020 12:37,3/25/2020 12:37,,,,,,From a friend,,Wellness exam,,Extremely likely,,,,,
11438935844,212328902,3/23/2020 7:26,3/23/2020 7:27,,,,,,From a friend,,Spay/Neuter,,,Very likely,,,,
11434522388,212328902,3/20/2020 17:08,3/20/2020 17:08,,,Google,,,,,Spay/Neuter,,Extremely likely,,,,,Very professional treated 
11432671778,212328902,3/20/2020 3:20,3/20/2020 3:21,,,,,,,yelp,Wellness exam,,Extremely likely,,,,,"I appreciate the timeliness of being seen, the kindness of the doctor and the staff and the prices being very affordable!"
11431785780,212328902,3/19/2020 17:37,3/19/2020 17:38,,,,,,From a friend,,Wellness exam,,Extremely likely,,,,,
11426430781,212328902,3/17/2020 22:45,3/17/2020 22:48,,,,,,,Military Vet clinic ,Spay/Neuter,,,Very likely,,,,Everyone was very friendly and helpful. All my questions where answered. 
11422368459,212328902,3/16/2020 13:05,3/16/2020 13:07,,,,,,From a friend,,Spay/Neuter,,,,Somewhat likely,,,It was an awesome veterinary experience. Everyone was very helpful and friendly. 
11419433512,212328902,3/14/2020 23:06,3/14/2020 23:09,,Adopted from Louisiana SPCA,,,,,,Wellness exam,,,,,Not so likely,,"They were great, but I have my own veterinarian that I use for my other dogs. I appreciate the services that they provided for my adoption. The vet and the staff were very interested on my feedback on how my pup was doing. They were very sincere and concerned on asking how she is doing. I'm very thankful for their interest."
11419319687,212328902,3/14/2020 20:30,3/14/2020 20:30,,,,,,From a friend,,Heartworm treatment,,Extremely likely,,,,,Not really
11418072376,212328902,3/13/2020 22:38,3/13/2020 22:39,,,,,,From a friend,,Spay/Neuter,,,Very likely,,,,
11415203817,212328902,3/12/2020 20:58,3/12/2020 21:00,,,,,,From a friend,,Other (please specify),Skin allergies,Extremely likely,,,,,Very clinic and very attentive doctors and assistants to my dog. I will recommend.
11414952299,212328902,3/12/2020 18:41,3/12/2020 18:42,,,,,In the news,,,Spay/Neuter,,,Very likely,,,,
11410424943,212328902,3/11/2020 9:45,3/11/2020 9:47,,,,,,,From SCP animal shelter in Luling,Spay/Neuter,,,,,Not so likely,,I have questions about some services listed on receipt when my puppy was returned. I called the # on receipt & left voicemail. 6 days later and no return call...very disappointed.
11401467859,212328902,3/7/2020 23:52,3/7/2020 23:55,,Adopted from Louisiana SPCA,,,,,,Wellness exam,,Extremely likely,,,,,I am so please with the service that you gave me and my husband I thank y'all from the bottom of my heart.
11399726213,212328902,3/6/2020 20:01,3/6/2020 20:01,,,,Social media,,,,Spay/Neuter,,,Very likely,,,,
11393469734,212328902,3/4/2020 20:37,3/4/2020 20:38,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,Very happy. 
11393354363,212328902,3/4/2020 19:32,3/4/2020 19:35,,,,,,From a friend,,Spay/Neuter,,,Very likely,,,,"Information by phone was incorrect and useless, but Tonya straightened everything out and got things done."
11389991510,212328902,3/3/2020 19:29,3/3/2020 19:30,,,,,,From a friend,,Wellness exam,,Extremely likely,,,,,Great job 
11379511898,212328902,2/28/2020 8:25,2/28/2020 8:27,,,,,,From a friend,,Wellness exam,,Extremely likely,,,,,Overall positive experience. 
11373956784,212328902,2/26/2020 13:46,2/26/2020 13:47,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,Great service
11370449107,212328902,2/25/2020 11:33,2/25/2020 11:35,,Adopted from Louisiana SPCA,,,,,,Heartworm treatment,,Extremely likely,,,,,EVERYONE WAS FANTASTIC!!! THANKS!!
11361113192,212328902,2/20/2020 20:00,2/20/2020 20:00,,,,,In the news,,,Spay/Neuter,,Extremely likely,,,,,
11358419104,212328902,2/19/2020 21:52,2/19/2020 21:53,,,,,,,Self looked it up,Spay/Neuter,,Extremely likely,,,,,Cat is doing great
11357871709,212328902,2/19/2020 16:29,2/19/2020 16:32,,,,,,,l look you up.,Spay/Neuter,,,,Somewhat likely,,,It was a long drive to get to you. Wish you were in Houma are Thibodaux area.
11356917019,212328902,2/19/2020 10:43,2/19/2020 10:43,,,Google,,,,,Heartworm treatment,,Extremely likely,,,,,
11355688547,212328902,2/19/2020 0:29,2/19/2020 0:30,,,,Social media,,,,Spay/Neuter,,Extremely likely,,,,,This was my first time with the new building addition. Everything was well organized and everyone was very friendly. 
11355354866,212328902,2/18/2020 20:03,2/18/2020 20:03,,,,Social media,,,,Spay/Neuter,,,,Somewhat likely,,,
11353554340,212328902,2/18/2020 8:28,2/18/2020 8:29,,,,,,From a friend,,Spay/Neuter,,,Very likely,,,,
11348521850,212328902,2/15/2020 13:23,2/15/2020 13:24,,,Google,,,,,Spay/Neuter,,Extremely likely,,,,,They're  wonderful 
11345389367,212328902,2/13/2020 22:35,2/13/2020 22:36,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,Wish I would have found out about your services earlier! 
11345348049,212328902,2/13/2020 21:57,2/13/2020 21:58,,Adopted from Louisiana SPCA,,,,,,Heartworm treatment,,Extremely likely,,,,,Wonderful service 
11345190740,212328902,2/13/2020 19:55,2/13/2020 19:56,,,,,,,Life long supporter,Spay/Neuter,,Extremely likely,,,,,Appreciate all y’all do!
11345070823,212328902,2/13/2020 18:38,2/13/2020 18:39,,,,,,,Have volunteered in adoption center,Spay/Neuter,,Extremely likely,,,,,
11343550296,212328902,2/13/2020 8:37,2/13/2020 8:38,,,,,,From a friend,,Spay/Neuter,,,Very likely,,,,
11341186935,212328902,2/12/2020 11:11,2/12/2020 11:12,,,,,,,Live around the corner,Wellness exam,,Extremely likely,,,,,
11333976934,212328902,2/9/2020 17:19,2/9/2020 17:20,,,,Social media,,,,Wellness exam,,,Very likely,,,,Wait times to be seated in an exam room as well as to be waited on by a nurse and the doctor were over an hour despite having an appointment. 
11331829456,212328902,2/7/2020 22:45,2/7/2020 22:46,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,
11331734165,212328902,2/7/2020 20:55,2/7/2020 21:00,,,,Social media,,,,Spay/Neuter,,,Very likely,,,,Big boy tested positive for feline leukemia and FIV. Last time this happened with my TNR animal I was informed before the procedure and the animal was humanly euthanized.  This time I was not informed and the procedure was done and then when the cat was received I decided to put him down since he was feral and not able to give medication.  The second feral cat exhibits the same symptoms and is mean and a fighter so I have decided to euthanize him instead of putting him thru the trapping shipping and procedure to be awaken and sent back to be euthanized.  
11329135999,212328902,2/6/2020 20:02,2/6/2020 20:03,,,,,,From a friend,,Wellness exam,,Extremely likely,,,,,
11327028360,212328902,2/6/2020 5:18,2/6/2020 5:21,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,Very professional and friendly. All our questions where answer. It gave me peace of mind. Thank you
11323139261,212328902,2/4/2020 18:57,2/4/2020 19:04,,,Google,,,,,Spay/Neuter,,,,,,Not at all likely,Prices for spay/neuter were different over the phone than they were in person with no heads up. Was charged $40 additional at the end of the procedure. Received my pet with his hindquarters literally covered in feces. He obviously defecated during the procedure and all that was done was to smear it around. The incisions for his procedure are not well made and the sutures look like they were done by someone who failed out of their first year of medical school. 100% will recommend to others to avoid this location. 
11317511007,212328902,2/2/2020 22:17,2/2/2020 22:18,,Adopted from Louisiana SPCA,,,,,,Heartworm treatment,,Extremely likely,,,,,
11317271600,212328902,2/2/2020 18:30,2/2/2020 18:31,,,,,In the news,,,Wellness exam,,Extremely likely,,,,,Everyone was very nice and helpful. 
11316405285,212328902,2/2/2020 1:42,2/2/2020 1:49,,Adopted from Louisiana SPCA,Google,,,From a friend,,Wellness exam,,Extremely likely,,,,,"Really a wonderful place. Best in the area. All staff members encountered (front desk, techs, the vet) were exceptional as usual. "
11315462571,212328902,2/1/2020 8:03,2/1/2020 8:04,,,,Social media,,,,Spay/Neuter,,Extremely likely,,,,,
11313200391,212328902,1/31/2020 7:48,1/31/2020 7:50,,,,,,,Previously used for spay surgery,Other (please specify),"Spay, cancelled",,Very likely,,,,"Although my foster dog's spay was cancelled because of medication she was on, I would still use this clinic again. Everyone was nice, and the process is streamlined. I do wish more communications would have been had to prevent the mishap of me checking my foster dog in for spay for 30 min only to be told surgery can't be done. I wish they had insisted to review her medical records beforehand instead of ""bring them with you"" because I took vacation hours from work to NOT have surgery done. Really glad they were precautious with my girl though.  "
11306322197,212328902,1/28/2020 19:01,1/28/2020 19:02,,,,,,From a friend,,Spay/Neuter,,,,Somewhat likely,,,My dog is not having a good recovery. I've called and left 2 messages to speak with someone about this. Noone is returning my call. Very disappointed 
11301461792,212328902,1/27/2020 7:23,1/27/2020 7:27,,Adopted from Louisiana SPCA,,,,,,Spay/Neuter,,Extremely likely,,,,,
11298214199,212328902,1/24/2020 21:00,1/24/2020 21:01,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,👍🏼
11295868346,212328902,1/23/2020 22:51,1/23/2020 22:52,,,,,,From a friend,,Other (please specify),Microchip,,Very likely,,,,
11285998622,212328902,1/20/2020 8:22,1/20/2020 8:23,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,Very kind and helpful staff. Reasonable wait time. 
11284041225,212328902,1/18/2020 20:14,1/18/2020 20:14,,Adopted from Louisiana SPCA,,,,,,Other (please specify),adoption booster,,,Somewhat likely,,,
11280264772,212328902,1/16/2020 19:28,1/16/2020 19:29,,,,,,From a friend,,Spay/Neuter,,Extremely likely,,,,,You guys are marvelous 
11277536346,212328902,1/15/2020 18:47,1/15/2020 18:51,,,,,,From a friend,,Wellness exam,,Extremely likely,,,,,Everyone was very friendly and helpful. Couldn’t ask for a better experience for my new kitty and me.
11274586560,212328902,1/14/2020 18:14,1/14/2020 18:16,,,,,In the news,,,Wellness exam,,Extremely likely,,,,,Everyone was very kind and friendly! Thank you!
11269649954,212328902,1/12/2020 18:48,1/12/2020 18:52,,,,,,,Resident of New Orleans. Grew up knowing about it. ,Spay/Neuter,,Extremely likely,,,,,I really was surprised at the great service. Your team did a great job with my dog. I'' be back with my other dog. Thanks. 
11269575195,212328902,1/12/2020 17:11,1/12/2020 17:11,,Adopted from Louisiana SPCA,,,,,My godmother brings her baby there also ,Wellness exam,,Extremely likely,,,,,The techs and vet were so kind. They took as much time as I needed. I did not feel rushed but felt cared for. All my concerns were answered graciously and I realize 
11268724431,212328902,1/11/2020 19:48,1/11/2020 19:50,,,,,,From a friend,,Other (please specify),Puppy package,Extremely likely,,,,,Everyone was so nice and extremely helpful. 
11268668159,212328902,1/11/2020 18:16,1/11/2020 18:18,,,,,,From a friend,,Wellness exam,,Extremely likely,,,,,The staff took very good care if Piper. It was a great visit! 
